3,99876,
2,06227,
3,92243,
1,32631,
3,10426,
3,13802,
1,74666,
1,93252,
4,06834,
1,01301,
1,51084,
3,91658,
2,56797,
2,11616,
2,27971,
3,34236,
4,28581,
3,50252,
1,19558,
1,83576,
3,46129,
4,09127,
3,90445,
3,80063,
4,00171,
3,47955,
2,33167,
4,38882,
4,31907,
4,14319,
2,86495,
2,16954,
2,93898,
2,28294,
2,09409,
2,32483,
3,79616,
4,44195,
4,27472,
1,44504,
1,77103,
1,79575,
1,19553,
1,52724,
2,01532,
3,23638,
3,51453,
3,85796,
1,1783,
1,97439,
1,44365,
3,24737,
2,34921,
2,59724,
1,2512,
3,2985,
2,79672,
2,91094,
1,59245,
1,86522,
1,28795,
2,18582,
0,82081,
2,60432,
3,28781,
2,89413,
1,44831,
3,22256,
1,40577,
2,17105,
1,67736,
2,24725,
1,31409,
2,14902,
3,48628,
1,99924,
3,33354,
3,34969,
2,15876,
4,26757,
1,75989,
3,95799,
3,46292,
2,04448,
1,38259,
1,33642,
2,13245,
2,18382,
1,98487,
2,05609,
1,86844,
1,67033,
2,90874,
1,29208,
4,12634,
1,3309,
2,80928,
3,96911,
3,6418,
3,55906,
2,98531,
1,86204,
3,07775,
2,78329,
3,68062,
3,90851,
1,64606,
2,80171,
3,29942,
3,26197,
1,2729,
2,48135,
1,55665,
2,11557,
4,62097,
1,68879,
4,2769,
4,67512,
2,06514,
4,30513,
4,43061,
4,71412,
1,09261,
4,00753,
1,52175,
1,88013,
3,12359,
1,95096,
1,79772,
4,51224,
2,57734,
1,60967,
2,54788,
2,16795,
2,59205,
1,98232,
2,18851,
1,12204,
1,11192,
4,00697,
2,6429,
3,5981,
2,2272,
4,08632,
3,70539,
3,31348,
3,72076,
1,83332,
2,19424,
1,86516,
1,37018,
2,76319,
2,87082,
3,47099,
3,46171,
1,24318,
1,87114,
1,26366,
1,7451,
3,21542,
3,79281,
3,89868,
2,57684,
3,48778,
2,9715,
2,79588,
1,68241,
2,26489,
3,96169,
2,65064,
1,72208,
1,57508,
1,04398,
2,25493,
3,14794,
3,85905,
2,76033,
4,12491,
2,95704,
3,49106,
1,42052,
4,41544,
3,47377,
2,67588,
2,72307,
2,63005,
3,62647,
4,14713,
3,89236,
4,13134,
2,43278,
2,03913,
1,71104,
4,31362,
2,87739,
2,2089,
3,0846,
3,93617,
1,61235,
1,18138,
2,67419,
1,96345,
3,92391,
1,65335,
1,11176,
1,83488,
2,92464,
1,43397,
3,54539,
3,81568,
2,45257,
2,34774,
3,01957,
2,69877,
3,28755,
2,04276,
4,39779,
2,39521,
3,95104,
1,59237,
3,64647,
3,78301,
3,88269,
2,27114,
2,68919,
2,56962,
2,83565,
4,46676,
3,55604,
2,56027,
3,80105,
0,83554,
0,92236,
4,36765,
4,02349,
4,29418,
2,77242,
2,94747,
3,42416,
1,06863,
0,91977,
4,1222,
1,13848,
2,37047,
3,78629,
1,24796,
2,62535,
1,23558,
3,91703,
2,20641,
3,72821,
2,65493,
3,07986,
1,30335,
3,86804,
1,51901,
4,20522,
2,64793,
2,98935,
3,70449,
1,85652,
